Visiting: Win,Home: Win
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
False,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
False,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
False,True
True,False
